Category,Item Sold,Net Amt,Cost Amt,Profit Amt,Gross Profit (%)
BEER,9306,89607.14,73647.31,15959.83,17.81%
CHIPS-CANDY,685,941.57,643.76,297.81,31.63%
CIG-CIGAR,1360,11443.82,10124.91,1318.91,11.53%
General,-2,120.92,95.28,25.64,21.20%
MALT BEVERAGE,80,597.76,470.46,127.30,21.30%
MISCELLANEOUS,1500,3950.46,1994.87,1955.59,49.50%
SPARKLING WINE,405,6584.25,5486.83,1097.42,16.67%
SPIRIT,7246,95384.07,82059.12,13324.95,13.97%
WATER-JUICE-SODA,1048,2617.11,1537.12,1079.99,41.27%
WINE,6603,79318.21,63997.41,15320.80,19.32%
Total,28231,290565.31,240057.07,50508.24,17.38%
