Date,Sales,Cash Added,Subtotal,Total Tax,Taxable Sales,Nontaxable Sales,Discount,Sale Discount,Total Sales (Without Tax),Total Credit Amt,Total Cash Sales,Total EBT Sales,Total Coupons Sales,Total Paid out
03-01-2018,9425.03,0.00,8843.18,581.85,8783.91,59.27,0.00,118.02,8843.18,6654.49,2770.54,0.00,0.00,265.00
03-02-2018,16061.36,0.00,15067.79,993.57,15000.46,67.33,0.00,187.94,15067.79,11637.73,4422.13,0.00,1.50,0.00
03-03-2018,16886.86,0.00,15849.24,1037.62,15662.40,186.84,0.00,139.82,15849.24,11091.73,5792.63,0.00,2.50,0.00
03-04-2018,7975.84,0.00,7484.91,490.93,7411.92,72.99,0.00,84.56,7484.91,5228.84,2741.25,0.00,5.75,0.00
03-05-2018,4922.02,0.00,4617.09,304.93,4603.23,13.86,0.00,67.18,4617.09,3209.61,1711.91,0.00,0.50,0.00
03-06-2018,12528.30,0.00,11755.52,772.78,11665.28,90.24,0.00,70.91,11755.52,8448.06,4078.24,0.00,2.00,0.00
03-07-2018,1530.32,0.00,1435.69,94.63,1428.70,6.99,0.00,14.94,1435.69,1083.56,446.26,0.00,0.50,27.00
03-08-2018,7475.21,0.00,7012.92,462.29,6978.32,34.60,0.00,36.20,7012.92,5540.91,1927.80,0.00,6.50,0.00
03-09-2018,17460.99,0.00,16369.04,1091.97,16483.48,-114.44,0.00,256.16,16369.04,10943.60,6516.89,0.00,0.50,0.00
03-10-2018,13693.35,0.00,12849.17,844.18,12743.35,105.82,0.00,79.42,12849.17,9440.17,4252.43,0.00,0.75,110.28
03-11-2018,7851.33,0.00,7365.20,486.13,7338.87,26.33,0.40,57.18,7365.20,5108.92,2740.16,0.00,2.25,0.00
03-12-2018,6813.60,0.00,6390.96,422.64,6379.38,11.58,0.00,36.06,6390.96,4299.23,2512.87,0.00,1.50,0.00
03-13-2018,6021.09,0.00,5648.30,372.79,5627.09,21.21,0.00,28.04,5648.30,4028.21,1992.38,0.00,0.50,0.00
03-14-2018,7572.18,0.00,7103.60,468.58,7072.67,30.93,0.00,55.99,7103.60,4965.36,2606.07,0.00,0.75,0.00
03-15-2018,9626.30,0.00,9049.11,577.19,8711.86,337.25,0.00,51.62,9049.11,6548.87,3076.68,0.00,0.75,0.00
03-16-2018,19319.56,0.00,18129.06,1190.50,17970.46,158.60,0.00,184.67,18129.06,14923.29,4395.77,0.00,0.50,0.00
03-17-2018,18096.70,0.00,16980.27,1116.43,16853.46,126.81,0.00,137.38,16980.27,12480.18,5614.52,0.00,2.00,0.00
03-18-2018,7933.97,0.00,7443.29,490.69,7408.46,34.83,0.00,55.70,7443.29,5023.75,2907.72,0.00,2.50,0.00
03-19-2018,4437.70,0.00,4163.09,274.61,4145.27,17.82,0.00,33.04,4163.09,2628.09,1809.61,0.00,0.00,0.00
03-20-2018,11732.18,0.00,11006.26,725.92,10957.55,48.71,0.00,62.84,11006.26,8190.99,3541.19,0.00,0.00,0.00
03-21-2018,2161.38,0.00,2027.53,133.85,2020.55,6.98,0.00,6.00,2027.53,1506.04,654.84,0.00,0.50,0.00
03-22-2018,7353.62,0.00,6898.85,454.77,6864.44,34.41,0.00,70.44,6898.85,4939.23,2413.89,0.00,0.50,0.00
03-23-2018,17475.42,0.00,16391.21,1084.21,16366.48,24.73,0.00,147.62,16391.21,13296.06,4179.36,0.00,0.00,0.00
03-24-2018,17562.35,0.00,16479.05,1083.30,16353.24,125.81,0.00,157.44,16479.05,12866.55,4695.80,0.00,0.00,0.00
03-25-2018,12155.80,0.00,11405.86,749.94,11319.42,86.44,0.00,36.26,11405.86,9576.95,2578.10,0.00,0.75,0.00
03-26-2018,5799.98,0.00,5440.85,359.13,5420.91,19.94,0.00,20.26,5440.85,3746.89,2051.59,0.00,1.50,0.00
03-27-2018,7194.82,0.00,6750.62,444.20,6702.53,48.09,0.00,4.96,6750.62,5001.77,2191.80,0.00,1.25,0.00
03-28-2018,9997.60,0.00,9386.80,619.14,9347.02,39.78,0.00,69.86,9386.80,6905.84,3091.76,0.00,0.00,0.00
03-29-2018,12254.12,0.00,11494.82,759.30,11460.61,34.21,0.00,74.02,11494.82,9182.02,3071.60,0.00,0.50,0.00
03-30-2018,22868.23,0.00,21453.62,1414.61,21353.88,99.74,0.00,216.37,21453.62,17111.68,5756.05,0.00,0.50,0.00
03-31-2018,20638.32,0.00,19365.04,1273.28,19220.53,144.51,0.00,111.81,19365.04,15716.04,4921.03,0.00,1.25,0.00
Total,342825.53,0.00,321657.94,21175.96,319655.73,2002.21,0.40,2672.71,321657.94,241324.66,101462.87,0.00,38.00,402.28
